S.No,States/UTs,T-Junction(Total number of Accidents),T-Junction(Number of Persons Killed),"T-Junction(Greviously
Injured)","T-Junction(Minor
Injury)","T-Junction(Total
Injured)","Y-Junction(Total number
of Accidents)","Y-Junction(Persons
Killed)","Y-Junction(Greviously
Injured)","Y-Junction(Minor
Injury)","Y-Junction(Total
Injured)","Four arm Junction(Total number
of Accidents)",Four arm Junction(Persons Killed),"Four arm Junction(Greviously
Injured)",Four arm Junction(Minor Injury),"Four arm Junction(Total
Injured)","Staggered Junction(Total number
of Accidents)","Staggered Junction(Persons
Killed)","Staggered Junction(Greviously
Injured)","Staggered Junction(Minor
Injury)","Staggered Junction(Total
Injured)","Round about Junction(Total
number of
Accidents)",Round about Junction(Persons Killed),"Round about Junction(Greviously
Injured)","Round about Junction(Minor
Injury)","Round about Junction(Total
Injured)","Others(Total number
of Accidents)","Others(Persons
Killed)","Others(Greviously
Injured)","Others(Minor
Injury)","Others(Total
Injured)"
1,2,3,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
1,Andhra Pradesh,"2,157",718,828,"1,089","1,917",987,297,488,501,989,"1,191",347,398,588,986,916,307,404,535,939,924,400,328,430,758,"15,381","6,117","3,151","12,300","15,451"
2,Arunachal Pradesh,47,29,57,25,82,38,21,46,22,68,29,16,39,18,57,31,20,37,16,53,0,0,0,0,0,138,71,58,29,87
3,Assam,501,181,342,38,380,331,106,265,43,308,347,115,259,29,288,156,41,140,10,150,367,91,205,25,230,"5,709","2,502","4,001",406,"4,407"
4,Bihar,844,626,553,47,600,508,407,353,19,372,374,300,234,42,276,80,66,38,2,40,168,117,78,9,87,"7,579","6,144","6,317",254,"6,571"
5,Chhattisgarh,"1,204",516,123,730,853,307,110,35,252,287,705,164,68,374,442,346,196,48,253,301,195,98,7,97,104,"9,618","4,287","1,260","7,436","8,696"
6,Goa,89,5,6,21,27,23,2,0,5,5,122,6,2,28,30,1,0,0,0,0,78,4,4,17,21,"2,536",209,206,554,760
7,Gujarat,901,366,484,364,848,370,161,205,141,346,911,388,467,400,867,"1,183",619,653,367,"1,020",381,142,206,160,366,"11,440","5,776","5,834","4,409","10,243"
8,Haryana,341,146,74,190,264,266,111,63,164,227,624,263,242,303,545,213,97,50,134,184,269,125,68,160,228,"8,220","3,964","1,465","5,208","6,673"
9,Himachal Pradesh,61,23,26,41,67,15,3,8,18,26,3,0,1,4,5,0,0,0,0,0,0,0,0,0,0,"2,325","1,026","1,202","2,154","3,356"
