S.No,States/UTs,Sunny/Clear Total Accidents,Sunny/Clear Persons Killed ,Sunny/Clear Greviously Injured,Sunny/Clear Minor Injury,Sunny/Clear Total Injured,Rainy Total AccidentsRainy,Rainy Persons Killed,Rainy Greviously Injured,Rainy Minor Injury,Rainy Total Injured,Foggy & Misty Total Accidents,Foggy & Misty Persons Killed,Foggy & Misty Greviously Injured,Foggy & Misty Minor Injury,Foggy & Misty Total Injured,Hail/Sleet Total Accidents,Hail/Sleet Persons Killed,Hail/Sleet Greviously Injured,Hail/Sleet Minor Injury,Hail/Sleet Total Injured,Others Total Accidents,Others Persons Killed,Others Greviously Injured,Others Minor Injury,Others Total Injured
1,Andhra Pradesh,"17,232","6,592","3,922","12,712","16,634","1,327",450,563,818,"1,381","1,211",464,562,678,"1,240",185,49,129,89,218,"1,601",631,421,"1,146","1,567"
2,Arunachal Pradesh,108,60,85,28,113,70,38,52,19,71,47,30,48,23,71,26,13,28,21,49,32,16,24,19,43
3,Assam,"3,428","1,542","2,237",203,"2,440","1,365",509,"1,051",103,"1,154","1,191",415,818,113,931,205,64,215,16,231,"1,222",506,891,116,"1,007"
4,Bihar,"5,268","4,256","4,122",256,"4,378","2,085","1,604","1,562",80,"1,642","2,200","1,800","1,889",37,"1,926",0,0,0,0,0,0,0,0,0,0
5,Chhattisgarh,"8,872","3,744","1,116","6,569","7,685","1,416",569,186,938,"1,124",297,112,31,238,269,29,13,4,23,27,"1,761",933,204,"1,374","1,578"
6,Goa,"2,643",211,201,585,786,206,15,17,40,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Gujarat,"13,006","6,322","6,730","4,927","11,657","1,149",553,628,588,"1,216",469,284,215,180,395,7,7,4,0,4,555,286,272,146,418
8,Haryana,"4,726","2,173",818,"2,819","3,637","1,114",529,207,672,879,"1,530",735,227,975,"1,202",72,63,3,59,62,"2,491","1,206",707,"1,634","2,341"
9,Himachal Pradesh,"2,158",925,"1,124","1,944","3,068",120,63,57,139,196,21,11,9,28,37,6,12,1,4,5,99,41,46,102,148
10,Jharkhand,"2,242","1,618","1,252",294,"1,546",771,529,516,105,621,692,527,318,135,453,181,134,84,20,104,842,705,432,71,503
11,Karnataka,"28,839","8,325","16,063","18,223","34,286","3,821","1,066","2,104","2,138","4,242","1,987",647,"1,166","1,060","2,226",0,0,0,0,0,0,0,0,0,0
12,Kerala,"28,342","2,675","22,644","8,771","31,415","3,431",521,"2,660","1,080","3,740","1,498",230,"1,175",423,"1,598",25,3,16,6,22,0,0,0,0,0
13,Madhya Pradesh,"31,023","7,358","3,262","27,042","30,304","5,261","1,495",894,"4,689","5,583","4,034","1,233",883,"3,427","4,310",639,146,167,578,745,"7,920","1,825",879,"7,135","8,014"
14,Maharashtra,"27,251","12,672","14,760","6,439","21,199","1,661",642,946,413,"1,359",524,202,347,127,474,41,12,20,19,39,0,0,0,0,0
15,Manipur,217,57,95,214,309,67,21,21,65,86,59,21,27,62,89,0,0,0,0,0,23,11,5,15,20
16,Meghalaya,139,92,97,37,134,15,8,13,16,29,8,5,3,5,8,0,0,0,0,0,83,82,53,39,92
17,Mizoram,48,42,17,14,31,11,7,11,14,25,8,7,6,2,8,0,0,0,0,0,2,0,1,0,1
18,Nagaland,205,24,31,92,123,104,10,15,32,47,130,3,17,39,56,19,0,5,8,13,288,18,54,87,141
