S.No,State/UT,T_Junction_Accidents,T_Junction_Killed,T_Junction_Injured,Y_Junction_Accidents,Y_Junction_Killed,Y_Junction_Injured,Four_arm_Junction_Accidents,Four_arm_Junction_Killed,Four_arm_Junction_Injured,Staggered_Junction_Accidents,Staggered_Junction_Killed,Staggered_Junction_Injured,Round_about_Junction_Accidents,Round_about_Junction_Killed,Round_about_Junction_Injured,Others_Accidents,Others_Killed,Others_Injured
1,Andhra Pradesh,2157,718,1917,987,297,989,1191,347,986,916,307,939,924,400,758,15381,6117,15451
2,Arunachal Pradesh,47,29,82,38,21,68,29,16,57,31,20,53,12,6,21,138,71,87
3,Assam,501,181,380,331,106,308,347,115,288,156,41,150,367,91,230,5709,2502,4407
4,Bihar,844,626,600,508,407,372,374,300,276,80,66,40,168,117,87,7579,6144,6571
5,Chhattisgarh,1204,516,853,307,110,287,705,164,442,346,196,301,195,98,104,9618,4287,8696
6,Goa,89,5,27,23,2,5,122,6,30,1,0,0,78,4,21,2536,209,760
7,Gujarat,901,366,848,370,161,346,911,388,867,1183,619,1020,381,142,366,11440,5776,10243
8,Haryana,341,146,264,266,111,227,624,263,545,213,97,184,269,125,228,8220,3964,6673
9,Himachal Pradesh,61,23,67,15,3,26,3,0,5,0,0,0,0,0,0,2325,1026,3356
10,Jharkhand,410,258,303,250,179,164,217,140,138,192,141,109,470,285,309,3189,2510,2204
11,Karnataka,3344,859,3535,1570,448,1448,1787,387,1887,964,213,1131,1112,258,1195,25870,7873,31558
12,Kerala,5730,536,6246,1672,169,1827,1672,134,1828,697,68,783,235,32,253,23290,2490,25838
13,Madhya Pradesh,4901,1153,4651,2102,403,2083,2909,426,2582,1789,468,1889,2965,582,3356,34211,9025,34395
14,Maharashtra,1115,498,859,644,284,458,710,270,540,284,134,210,145,53,93,26579,12289,20911
15,Manipur,18,10,31,10,4,8,17,1,19,5,4,1,9,1,16,307,90,429
16,Meghalaya,3,3,0,2,2,1,0,0,0,2,1,1,1,1,0,237,180,261
17,Mizoram,6,6,7,10,7,6,0,0,0,0,0,0,53,43,52,0,0,0
18,Nagaland,36,3,25,19,0,13,18,0,10,1,0,3,5,5,11,667,47,318
19,Odisha,1044,467,832,577,256,448,479,224,374,487,255,341,300,124,252,8096,3755,7535
20,Punjab,296,224,135,187,148,85,227,147,125,185,151,79,168,113,64,4808,3806,2584
21,Rajasthan,909,386,756,360,165,294,492,179,394,749,354,605,730,329,646,17711,8630,16649
22,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,20,5,20,135,51,224
23,Tamil Nadu,5417,1457,5581,1246,336,1273,1383,320,1466,648,161,643,232,56,232,46756,13054,46801
24,Telangana,2474,864,2397,614,151,547,779,177,709,2517,559,2336,1582,562,1496,13349,5244,12622
25,Tripura,8,2,11,3,0,3,0,0,0,0,0,0,0,0,0,468,192,533
26,Uttarakhand,30,15,24,13,4,13,40,25,27,1,0,1,0,0,0,1321,776,1026
27,Uttar Pradesh,3696,2054,2386,2749,1448,1765,2601,1388,1682,2221,1192,1465,1767,959,1249,24695,14186,16350
28,West Bengal,531,148,449,288,70,231,340,135,279,95,8,80,120,25,107,10563,5414,9308
29,Andaman and Nicobar Islands,9,2,7,8,3,5,0,0,0,0,0,0,0,0,0,98,15,85
30,Chandigarh,9,6,2,0,0,0,52,24,52,7,0,8,21,12,20,119,54,90
31,Dadra and Nagar Haveli and Daman and Diu,60,33,60,44,17,69,8,5,12,5,4,6,4,4,1,19,13,79
32,Delhi,534,124,461,224,61,178,529,136,452,214,86,152,155,42,141,3064,790,2889
33,Jammu and Kashmir,155,35,161,71,11,99,58,16,65,10,0,15,398,77,499,4760,635,6133
34,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,56,242
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,6
36,Puducherry,140,30,135,19,0,25,79,6,79,112,15,133,336,58,341,363,31,386
